,Sharpe Ratio,Sortino Ratio,Max Drawdown Duration,Max Drawdown [%],Total Trades,Total Return [%],oos_period_start,oos_period_end,is_period_start,is_period_end,train_best_params,train_best_sortino_ratio,symbol
BTC-USD,0.7362810279433111,1.2019067002038133,56 days,14.854240437892766,4,9.468133955003296,2024-03-08 00:00:00+00:00,2024-09-03 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-03-07 00:00:00+00:00,"(np.int64(13), np.int64(19), np.int64(6), np.int64(13), np.int64(10), 'TSLA')",4.1935251267165645,TSLA
BTC-USD,1.293755862504497,2.1781552445112955,76 days,20.475178519449944,5,20.06731515916239,2024-09-04 00:00:00+00:00,2025-03-02 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-09-03 00:00:00+00:00,"(np.int64(13), np.int64(16), np.int64(9), np.int64(5), np.int64(16), 'TSLA')",3.7448443342913036,TSLA
BTC-USD,-1.0072530526923473,-1.3473474426881653,39 days,11.332429043106162,3,-7.136913555413031,2025-03-03 00:00:00+00:00,2025-08-29 00:00:00+00:00,2023-03-14 00:00:00+00:00,2025-03-02 00:00:00+00:00,"(np.int64(4), np.int64(22), np.int64(9), np.int64(9), np.int64(10), 'TSLA')",3.339296617590079,TSLA
BTC-USD,0.0853927981395891,0.1364859669799777,113 days,7.651836520644357,2,0.15851130320460527,2025-08-30 00:00:00+00:00,2026-02-25 00:00:00+00:00,2023-03-14 00:00:00+00:00,2025-08-29 00:00:00+00:00,"(np.int64(13), np.int64(26), np.int64(7), np.int64(11), np.int64(12), 'TSLA')",2.9484789402505216,TSLA
BTC-USD,0.4038468253883083,0.6260304729319687,38 days,19.524642431327948,6,3.5641917487530037,2024-03-08 00:00:00+00:00,2024-09-03 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-03-07 00:00:00+00:00,"(np.int64(14), np.int64(15), np.int64(9), np.int64(8), np.int64(10), 'AAPL')",2.401342446784294,AAPL
BTC-USD,1.9274476816071746,3.4358268703970447,76 days,16.082504527031944,2,38.628911451983186,2024-09-04 00:00:00+00:00,2025-03-02 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-09-03 00:00:00+00:00,"(np.int64(6), np.int64(16), np.int64(8), np.int64(3), np.int64(10), 'AAPL')",3.0583982889145336,AAPL
BTC-USD,1.5021860547164958,3.8542271642035786,26 days,1.7988930784195105,2,5.517587589880591,2025-03-03 00:00:00+00:00,2025-08-29 00:00:00+00:00,2023-03-14 00:00:00+00:00,2025-03-02 00:00:00+00:00,"(np.int64(13), np.int64(15), np.int64(6), np.int64(5), np.int64(14), 'AAPL')",4.063244012809894,AAPL
BTC-USD,-0.3544255065677185,-0.5112400063312202,76 days,10.205681992156224,3,-3.311394086842242,2025-08-30 00:00:00+00:00,2026-02-25 00:00:00+00:00,2023-03-14 00:00:00+00:00,2025-08-29 00:00:00+00:00,"(np.int64(13), np.int64(15), np.int64(5), np.int64(3), np.int64(14), 'AAPL')",2.792607827877159,AAPL
BTC-USD,0.16968478455343744,0.26997509616420406,56 days,19.524642431327933,6,0.3336691422636733,2024-03-08 00:00:00+00:00,2024-09-03 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-03-07 00:00:00+00:00,"(np.int64(14), np.int64(15), np.int64(9), np.int64(5), np.int64(10), 'MSFT')",2.470986165558105,MSFT
BTC-USD,1.8829371058649491,3.2328546620146734,41 days,15.431160013549514,3,38.9124058942956,2024-09-04 00:00:00+00:00,2025-03-02 00:00:00+00:00,2023-03-14 00:00:00+00:00,2024-09-03 00:00:00+00:00,"(np.int64(7), np.int64(15), np.int64(7), np.int64(14), np.int64(10), 'MSFT')",1.868724479449563,MSFT
